camNum	frameNum	sysClock	buffer
0	1	605960341	1
1	1	605960347	1
0	2	7	1
1	2	11	1
0	3	40	1
1	3	44	1
0	4	74	1
1	4	76	1
0	5	107	1
1	5	108	1
0	6	140	1
1	6	156	1
0	7	174	1
1	7	188	1
0	8	207	1
1	8	220	1
0	9	240	1
1	9	252	1
0	10	274	1
1	10	284	1
0	11	307	1
1	11	316	1
0	12	341	1
1	12	348	1
0	13	374	1
1	13	380	1
0	14	407	1
1	14	412	1
0	15	441	1
1	15	444	1
0	16	475	1
1	16	476	1
0	17	507	1
1	17	508	1
0	18	541	1
1	18	556	1
0	19	574	1
1	19	588	1
0	20	607	1
1	20	620	1
0	21	641	1
1	21	652	1
0	22	674	1
1	22	684	1
0	23	708	1
1	23	716	1
0	24	741	1
1	24	748	1
0	25	774	1
1	25	780	3
0	26	808	1
1	26	812	2
0	27	891	1
1	27	846	1
1	28	876	1
0	28	895	1
0	29	908	1
1	29	908	1
0	30	941	1
1	30	956	1
0	31	974	1
1	31	988	1
0	32	1008	1
1	32	1020	1
0	33	1041	1
1	33	1052	1
0	34	1074	1
1	34	1084	1
0	35	1108	1
1	35	1116	1
0	36	1141	1
1	36	1148	1
0	37	1174	1
1	37	1179	1
0	38	1208	1
1	38	1211	3
0	39	1241	1
1	39	1244	2
0	40	1332	1
1	40	1279	1
0	41	1336	1
1	41	1309	1
0	42	1343	1
1	42	1356	1
0	43	1375	1
1	43	1388	1
0	44	1408	1
1	44	1420	1
0	45	1441	1
1	45	1452	1
0	46	1474	1
1	46	1484	1
0	47	1508	1
1	47	1516	1
0	48	1541	1
1	48	1548	1
0	49	1574	1
1	49	1580	1
0	50	1608	1
1	50	1612	1
0	51	1641	1
1	51	1644	1
1	52	1676	1
0	52	1675	1
0	53	1708	1
1	53	1708	1
0	54	1741	1
1	54	1756	1
0	55	1775	1
1	55	1788	1
0	56	1808	1
1	56	1820	1
0	57	1841	1
1	57	1852	1
0	58	1875	1
1	58	1884	1
0	59	1908	1
1	59	1916	1
0	60	1941	1
1	60	1948	1
0	61	1975	1
1	61	1980	1
0	62	2008	1
1	62	2011	1
0	63	2041	1
1	63	2044	1
0	64	2075	1
1	64	2076	1
0	65	2114	1
1	65	2119	1
0	66	2142	1
1	66	2156	1
0	67	2175	1
1	67	2188	1
0	68	2208	1
1	68	2220	1
0	69	2242	1
1	69	2252	1
0	70	2275	1
1	70	2284	1
0	71	2308	1
1	71	2316	1
0	72	2342	1
1	72	2348	1
0	73	2375	1
1	73	2380	1
0	74	2408	1
1	74	2411	1
0	75	2442	1
1	75	2444	1
1	76	2476	1
0	76	2475	1
0	77	2508	1
1	77	2508	1
0	78	2542	1
1	78	2556	1
0	79	2575	1
1	79	2588	1
0	80	2608	1
1	80	2620	1
0	81	2642	1
1	81	2652	1
0	82	2675	1
1	82	2684	1
0	83	2709	1
1	83	2716	1
0	84	2742	1
1	84	2748	1
0	85	2775	1
1	85	2780	1
0	86	2809	1
1	86	2812	1
0	87	2842	1
1	87	2844	1
0	88	2875	1
1	88	2876	1
0	89	2909	1
1	89	2924	1
0	90	2942	1
1	90	2956	1
0	91	2975	1
1	91	2988	1
0	92	3009	1
1	92	3020	1
0	93	3042	1
1	93	3052	1
0	94	3075	1
1	94	3084	1
0	95	3109	1
1	95	3116	1
0	96	3142	1
1	96	3148	1
0	97	3175	1
1	97	3180	1
0	98	3209	1
1	98	3212	1
0	99	3242	1
1	99	3244	1
0	100	3276	1
1	100	3276	1
0	101	3309	1
1	101	3324	1
0	102	3342	1
1	102	3356	1
0	103	3375	1
1	103	3388	1
0	104	3409	1
1	104	3420	1
0	105	3442	1
1	105	3452	1
0	106	3475	1
1	106	3484	1
0	107	3509	1
1	107	3516	1
0	108	3542	1
1	108	3548	1
0	109	3576	1
1	109	3580	1
0	110	3610	1
1	110	3612	1
1	111	3644	1
0	111	3642	1
0	112	3676	1
1	112	3676	1
0	113	3709	1
1	113	3724	1
0	114	3742	1
1	114	3756	1
0	115	3776	1
1	115	3788	1
0	116	3809	1
1	116	3820	1
0	117	3844	1
1	117	3852	1
